title,main_image,ingred_name,ingred_amount,recipe_step,recipe_image,views,writer
아삭한 식감의 최고봉 양상추! 양상추손질법,['https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/7a5099e1617240eccfe818e2bcc310461.jpg'],['양상추'],[''],"['지저분한 겉잎은 떼어준다.', '양상추 심지가 위로 오도록 한 후 심지를 꽉 눌러준다.', '심지를 살짝 비틀어 뺀다.', '손으로 잎을 떼어 낸다.', '떼어낸 잎을 깨끗이 씻는다.', '씻어낸 양상추의 물기를 제거한다.양상추를 거꾸로 엎어 놓으면 물이 더 잘 빠져요.', '(보관법)\n\n밀폐용기에 키친타월을 깔고 양상추를 넣어 냉장 보관']","['https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/3789c871a9438de020aa0a9b0f7ffed41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/c50cfd62e6d365203a7259c3084553151.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/9baeb28b38be5fbb7ad4da0ee7a3d00b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/c7f320a51ad97f755dd9b777736b49481.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/64fb63c584857c422fe3e1f5d0aeac2d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/2ad161e93ad160db2172befa0d8eeba31.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/8abff982e0dd3dfd37d88242af121c911.jpg']",43602,
된장드레싱의 두부양상추 샐러드,['https://recipe1.ezmember.co.kr/cache/recipe/2015/06/26/df66279fe07d49b9147c8a3063cef5d8.jpg'],"['양상추', '노랑파프리카', '빨강파프리카', '두부(생략가능)', '슬라이스아몬드', '집된장', '마요네즈', '꿀', '디종머스터드', '발사믹식초', '다진마늘', '검은깨']","['4~5잎', '1/3개', '1/3개', '1/2모', '적당량', '2/3Ts', '3Ts', '1Ts', '1Ts', '1/2Ts', '1개', '약간']","['된장 드레싱 재료는 모두 한데 넣어 잘 섞어서 사용전까지 냉장고에 차게 넣어두세요. 집된장이라서 잘 풀리지 않으니 먼저 된장을 숟가락으로 눌러서 잘 풀어주고, 그 다음에 다른 재료들을 넣어서 섞어주면 좋을것 같아요.', '두부는 이 샐러드에서 맛을 크게 좌우하지는 않아요. 넣어주셔도 되고, 생략하셔도 괜찮을것 같아요. 두부는 끓는 소금물에 데쳐서 물기를 쪽 빼준다음, 자그마한 깍두기 모양으로 썰어서 준비해두세요.', '파프리카는 먹기좋게 채썰어서 준비해두고, 양상추는 한입크기로 뜯어서 찬물에 헹군 다음, 체에 밭쳐 물기를 충분히 제거해 주세요. 슬라이스 아몬드는 기름없는 팬에 살짝 볶아서 준비하시면 더 고소한 맛을 즐길수 있습니다.', '큰 볼이나 접시에 준비해둔 재료들을 모두 담아주고, 위에 슬라이스 아몬드를 뿌려주세요. 그런다음 소스를 뿌려서 섞어드시면 맛나게 드실수 있어요.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/06/26/5f68918897a164073b1b835d678788871.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/26/b08908dedeba2bd15aa8357788397ab81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/26/8f3bf35c33f9b10a70e8ab754c3e368a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/26/ce0a21f972d94b4f8e9b7d7462eeb6901.jpg']",28420,
양상추키위샐러드 만들기,['https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/fde6c42ea4522f893c2f81b95286d2bd1.jpg'],"['골드키위', '양상추', '플레인요거트', '꿀', '양파', '빨간파프리카', '노란파프리카', '주황파프리카']","['5개', '', '', '', '1/2개', '', '', '']","['골드키위 4개와 양파반개는 적당한 크기로 잘라주세요', '양상추는 손으로 찢어주세요', '믹서기에 키위와 양파를 넣어주세요', '꿀2스푼 넣어주세요', '냉장고에 요플레가 보이더라고요~', '요플레를 넣어주세요', '믹서기로 갈면 이렇게 예쁜 색상의 키위소스가 완성됩니다', '색상 곱지요? ^^', '피망은 얇게 썰어주세요', '야채와 소스가 완성되었습니다', '양상추 위에 피망을 올리고 남은 키위 한개를 얇게 썰어서 올려주세요', '키위소스를 부어주면 양상추키위샐러드가 완성됩니다', '피망이 들어가서 식감이 좋고 달콤한 키위소스가 아주 맛있답니다^^ 디저트에 좋은 키위샐러드 만들어보세요^^']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/105140854ebdf85ea32fb7597c2be4e11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/ffaec59160d31e43e99b5691c1d674831.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/e5923f4eb7699bb24a1eaf2ad0c85f1d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/0d49c3fe0a89138ebab56464f53d60cb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/973bd859914308f9de825f86a21f2e271.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/b4e809bb42698bc6882cecdd19fcef181.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/11a079f3520c49dbac1ac1be0f0520411.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/2d9c3df5a2cb4ebda1fb7d4767cf44421.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/7f7e550ff469b196d0d1b9c1e25b93a91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/8666d4ca773d2d01c056d9e6ae8961341.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/a35d12a8a242b1843af67bf088de2c501.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/eae280354e11da246ba1578b943a45f51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/05/15/a81be8820fa3c3d0cf5f0d3ad98690a01.jpg']",8948,
양상추 견과류샐러드,['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/afb51cb5322d3a650d0b60183e82fa6e1.jpg'],"['양상추', '대추', '냉동블루베리', '견과류', '피망', '발사믹식초', '올리브유', '설탕', '후추']","['200g', '2개', '1줌', '50g', '1/2쪽', '2스푼', '1스푼', '1스푼', '약간']","['샐러드를 하기 위해 제일먼저 양상추를 손으로 찢어 거운 물에 담궈 두었어요.\n\n이렇게 하면 양상추의 아삭함을 즐길 수 있더라구요.', '물기 뺀 양상추를 접시에 담고 믹스견과 류와 블루베리 한줌,대추방울 토마토 두개와 피망을 먹기좋은 크기로 썰어 넣어 줍니다.', '발사믹 드레싱 재료를 혼합해줍니다.\n\n설탕이나 발사믹식초는 기호에 따라 가감해도 돼요.', '샐러드 드레싱을 뿌려 주세요.', '먹기전에 드레싱을 뿌려 섞어 드시면 되는데 과류를 넣어 고소함과 포만감 까지 있어 다이어트할때 도움되는 샐러드 입니다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/143cc837cf3ff7d23aca80d47619e26e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/355cedb32b804d30d1f54f415085ace81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/8564328a46e95845b0dbc16a81111fe21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/26b9e71e672fbe706ee30ebb0e33b2381.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/15/51c953aa197486696788b8a9fe9982ce1.jpg']",15531,
아삭한 양상추 곁들인 유린기,['https://recipe1.ezmember.co.kr/cache/recipe/2015/06/14/d18fd1099a712416fb4234fb2ea5742e.jpg'],"['닭다리', '녹말', '양상추', '간장', '후추', '생강술', '간장', '설탕', '식초', '물', '홍고추', '쪽파']","['3쪽', '', '1/4통', '', '', '', '', '', '', '', '1/2개', '3줄기']","['닭껍질 벗긴후 칼집을 좀 넣어 닭고기 두께를 거의 비슷하게 만듭니다. 닭고기 두께가 들쑥날쑥 하면 두꺼운 부위는 잘 안익거든요. 간장, 후추, 생강술로 밑간해 10분 정도 두세요.', '녹말가루 묻혀 스며들게 둡니다.', '160도 정도? 튀김 적정온도에 넣기보다 조금 낮은 온도에서부터 튀기기 시작합니다. 기름에 넣으면 처음엔 밑으로 가라앉았다 익기 시작하면 조금씩 조금씩 위로 떠오릅니다. 재료가 기름위에 떠다니면 일단 익긴 익은 거예요.', '바싹한 튀김을 원하면 재료 주변에 일고 있는 큰 거품이 잦아 들어 거품이 없을 때 건지면 바삭한 튀김이 되죠. 유린기의 닭도 좀 낮은 온도에서 부터 튀기기 시작, 큰 거품이 사르라들어 작은 거품이 되고 자작자작하는 소리가 나지 않을 때 건졌습니다.', '접시에 양상추 수북히 담고 튀김 닭고기는 한 입 크기로 썰어 담습니다.', '간장, 설탕 식초, 물 동량에 송송 썬 실파, 홍고추를 섞어 소스 만들었어요.', '간장 베이스 소스라 너무 많이 뿌리면 짜답니다. 먹기 직전에 닭고기 위에 뿌려주세요.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/2976ede1f1ee0bee639989d6d1a972351.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/79a7745c23c3ed8b59a1a5698ab4150a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/0e6e7e73f49c57d0476ee1c03dec88d71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/eea15564bf91c608c2526a009cad15de1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/dc1bd78e791751fec994b91501301b76.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/fa5b076c965d24a357e59518156c51611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/b89fcb8746313dcdf319fc002887b4b5.jpg']",38688,
[자취요리] 양상추 닭가슴살 샐러드(다이어트),['https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/1763675c667e439a818e5786860a38e11.jpg'],"['양상추', '닭가슴살', '양파', '발사믹식초', '올리브유', '후추']","['4장', '1팩', '1/2개', '2숟가락', '3숟가락', '약간']","['양파를 썬다.', '물에 담궈 매운맛을 빼준다\n\n(물에 담가놓는 시간은 샐러드가 완성될때까지만 담가놓으면 된다.)', '양상추 잎 4~5장', '먹기좋게 손으로 뜯고', '삶아놓았던 병아리콩도 넣어준다(생략가능)', '닭가슴살 전자렌지에 1분돌리고 썰어 넣는다.전자렌지', '발사믹식초 2', '올리브유 3 넣어 섞고 샐러드에 뿌린다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/c88b16375e0db925b317f1583323ef531.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/05b7519e02538f41f9ec87dc6940fb671.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/27c2ba8e8a23a4487af0f6ec636b92821.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/bea908708f0a328bb2f34048f9c3e4d21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/10c84f1d6bf1c42e1b6e7d6bca247c0d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/c3504d059508a03a0ed69011aeb4170d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/6ceb1f87237c5069d0d7cca8fc653d171.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/11/08/3e11cad8a16a5e331369df4b00748c6a1.jpg']",1848,
양상추 겉절이,['https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/f2ed7c4dc79ebe9b03b275385eb318b3.jpg'],"['양상추', '피망', '당근', '진간장', '매실청', '식초', '다시마']","['', '', '', '2스푼', '1스푼', '0.5스푼', '1스푼']","['양상추는 잎을 떼어서 적당한 크기로 찢어서 깨끗이 씻어서 마지막에는 생수에 헹구어 물빠짐을 해놓고 담아낼 그릇에 양상추와 당근 피망을 같이 섞어내는데 당근이나 피망은 취향대로 채를 썰어도 된다.', '장 재료를 섞어서 고루 스며들게 부어주면 되는데 미리 만들어서 양상추에 장맛이 들었을때가 맛있다.', '고기 먹을때나 비빔밥, 매운 음식 먹을때 찬으로 같이 먹으면 깔끔하게 정리가 된답니다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/65f192ee2156185ac6d74721ca30b3891.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/4d93bd9c8c7e9a1ac47a34c5347b59071.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/023f1a1cf8f37cfede951d4da25a414f1.jpg']",22043,
"양상추 크래미 샐러드, 달콤 고소한 샐러드소스 만드는법",['https://recipe1.ezmember.co.kr/cache/recipe/2016/10/26/7d0c7e2e34ecb0d439046d2f206fb2aa1.jpg'],"['양상추', '크래미', '머스터드소스', '마요네즈', '꿀']","['2줌', '4개', '3T', '2T', '1T']","['머스터드,마요네즈,꿀을 섞어 소스를 만들어줍니다.', '양상추와 크래미는 먹기좋은 크기로 담아냅니다.', '소스를 올려 샐러드 완성.']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/10/26/2ae423b32d57d7e05ce10f9f106da3eb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/26/402ae5c54b9d6b90405ad9bfc7c8c5861.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/26/4325a516cfc2289631934f62456033801.jpg']",26643,
간단 양상추 샐러드 만드는 법,['https://recipe1.ezmember.co.kr/cache/recipe/2015/08/31/fdbf24086e5e3d7f9d86ecccfc5af6e81.jpg'],"['양상추', '어린잎채소', '당근', '양파', '방울토마토', '진간장', '사과식초', '설탕', '레몬즙', '다진', '\u200b', '꿀', '올리브유']","['80g', '30g', '30g', '30g', '5개 \u200b \u200b', '2숟갈', '2숟갈', '1/2숟갈', '2숟갈', '1/3숟갈', '1숟갈', '1숟갈', '2숟갈']","['양상추는 흐르는 물에 씻어 손으로 뜯어준다.', '어린잎 채소는 흐르는 물에 씻어 준다.', '양파와 당근은 가늘게 채 썬다.', '방울토마토는 반으로 자른다.', '준비한 채소는 얼음 물에 담가 둔다.', '손질한 채소들은 얼음 물에 담가 두었다가 먹기 직전에 요리하면 더욱 아삭한 맛을 즐길 수 있어요.', '진간장 2숟갈, 사과식초 2숟갈, 레몬즙 2숟갈, 다진 양파 1숟갈, 다진 마늘 1/3숟갈, 꿀 1숟갈, 올리브오일 2숟갈, 설탕 1/2숟갈을 을 넣어 고루 섞어 양상추 샐러드 소스를 만든다.', '접시에 양상추 샐러드 채소를 넣고 방울토마토로 예쁘게 장식한 뒤 먹기 직전에 양상추 샐러드 소스를 뿌린다. 양상추는 날로 먹어야 영양 손실을 막을 수 있답니다. 샐러드나 샌드위치에 넣어 먹으면 좋겠죠. 아삭아삭 식감과 청량한 맛이 좋은 양상추 샐러드 만드는 법 따라 해봐요.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/7e76b2fe1508abe23af76fca820044541.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/549ceeebf52bd53bff2da7afb774d4721.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/f387168ce640c15f01a5642b7814d7a11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/0cf5f83042a7944bb30d85545dda74c71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/06e872f44f68d8e2a3a2ea71ed78d6ec1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/8d857c60db10f4e03ddf391a385e96ba1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/d89dc287e44008a34a7e5d2fb6d1bf771.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/ef574e65900f6d6d0ed9091f841fbbf91.jpg']",145830,
아삭한 양상추가 그득 들어있는! 양상추샐러드 ,['https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/3f233a7550693f29eac52986654a73a21.jpg'],"['양상추', '베이컨', '다진양파', '우유', '플레인요거트', '마요네즈', '레몬즙', '소금', '후추', '파마산치즈가루', '쪽파']","['1/2통', '4줄', '1/4개', '1/4Cup', '1/2Cup', '1/3Cup', '1T', '약간', '약간', '적당량', '1T']","['베이컨은 작게 썰어 팬에 바삭 하게 볶아낸다.베이컨 4줄팬', '양파는 다진 후 찬물에 담가 아린 맛을 뺀다..다진양파 1/4개', '양상추는 통으로 큼직하게 썰어 찬물에 헹구어 건져 물기를 뺀다.양상추 1/2통', '소스 재료를 모두 섞어 소스를 만든다.[소스재료] 우유 1/4Cup, 플레인요거트 1/2Cup, 마요네즈 1/3Cup, 레몬즙 1T, 소금 약간, 후추 약간', '접시에 양상추와 베이컨, 양파를 올린 후 소스를 뿌려주고 파마산 치즈 가루를 뿌려 완성한다.파마산치즈가루 적당량']","['https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/de9254176f92ac12229d1ff9c9ca44151.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/e1d4ca9ce22a8e440d3b3c932f1026a11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/5364cee40cab66e4ff329606fab934ad1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/3fb44a04bd181d43437237a049af0ece1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/29/6eba029480d69c71086793d8f6004fd01.jpg']",176954,
양상추 샐러드 만들기,['https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/a823ec2e0d449e41ffc60b88586f2c3a1.jpg'],"['양상추', '노랑', '빨강', '베이비채소', '무순', '양파', '간장', '설탕', '식초', '다진', '홍고추', '청고추', '엑스트라버진']","['100g', '50g', '50g', '30g', '30g', '50g', '2큰술', '1작은술', '1큰술', '1작은술', '1/2개', '1개', '1T']","['양상추는 손으로 먹기 좋은 크기로 찢어 흐르는 물에 씻어 얼음 물에 담갔다 건져 물기를 뺀다.', '빨강 파프리카와 노랑 파프리카는 씨를 빼고 깨끗이 씻어 먹기 좋은 크기로 썬다.', '무순, 베이비채소는 깨끗이 씻어 물기를 뺀다.', '양파는 채 썬다.', '청고추, 홍고추는 다진다.', '드레싱재료를 섞어 소스를 만듭니다.', '접시에 채소를 담아 먹기 직전에 드레싱을 뿌려 준다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/464910a1b3051ad4dd2f85c3c107f57e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/830f95bef67303f08cd83c5e608ed6f21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/b5691f1fb2209f8dcda7e77d5ef4180a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/0996a44581e466d745582ec6e2059b641.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/20ac98f997e364e5d098b34c64b4e9f51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/90791777b38b8731b8c55c07420687df1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/21/6db288cf683089201bb5ba3d00dbc6121.jpg']",30047,
오리엔탈드레싱 넣은 양상추샐러드 만드는 법,['https://recipe1.ezmember.co.kr/cache/recipe/2015/08/05/e4347353e5af19638624511b4c38cbdf1.jpg'],"['양상추', '간장', '올리브오일', '다진마늘', '레몬즙', '식초', '매실액(설탕)']","['', '1.5큰술', '2큰술', '0.5큰술', '1큰술', '1큰술', '2큰술']","['오늘만드는 샐러드소스는요 한국요리에 참 잘어울리는 드레싱이랍니다. 간장과, 다진마늘 등으로 만들어서 한국사람 입맛에 참 잘 맞는거 같아요. 레몬즙은 요즘 마트에 가면 많이 팔지요. 간장1.5 넣고 레몬즙 넣었어요.', '압착 올리브오일을 2 넣어줍니다.', '다진마늘조금 매실액을 넣어서 소스를 만들었어요.', '이렇게 해서 오늘 양상추샐러드와 어울리는 오리엔탈드레싱이 완성되었습니다.', '오늘은 몸에 좋은 토마토와 블루베리 넣어서 만들었어요. 샐러드재료는 정답이 없어요 그냥 몸에좋고 그날 있는 야채 채소 넣고 만드는거지요.']","['https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/c18fad14890a82af8d4950076c307cef1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/b5bc2c533ad60a7453292e2d7e644ccb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/fc2a7b12a24dfc3b23898726904609a81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/f00606aa7bf98b76f024937714e0fcd91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/27f805d6feab576805727e845fc2863a1.jpg']",155237,
상큼하고 아삭아삭한 [라임드레싱 사과양상추 샐러드],['https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/ba2d01bb03f83b381884042582c60c5a1.jpg'],"['레몬즙', '올리브오일', '천일염', '통후추', '사과', '양상추']","['1큰술', '1큰술', '약간', '약간', '1/4개(약50g)', '50g']","['통후추는 갈아주고 천일염은 톡톡톡 뿌려줍니다.', '라임청과 레몬즙을 넣어 잘 섞어줍니다.라임청 건더기는 잘게 잘라줍니다.', '마지막으로 올리브오일을 넣고 힘차게 저어 잘 섞어줍니다.', '양상추는 잘게 썰어줍니다.', '사과는 채썰어줍니다.', '드레싱에 살살 버무려 접시에 담고 라임슬라이스로 마무리하면 완성.']","['https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/82745dabefd9255e32d4d03b4425638c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/5ca69e8db1e54b60504872405cbff8ac1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/daa5a08a472df884925d98a2b74fc01c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/68f951658e2660cc93d113efac4f41611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/45c359d044218710326a7040ee8fd8df1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/19/17259d90b923560e6d4d88a26b8625751.jpg']",10566,
양상추 샐러드 소스 만들기,['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/14/7d7b84e1ed277d95f3a8106a4903c2871.jpg'],"['양상추', '캔옥수수', '식초', '올리브오일', '꿀', '다진마늘', '매실액', '설탕', '맛간장']","['', '', '2스푼', '4스푼', '1스푼', '1/2스푼', '1스푼', '1/2스푼', '1스푼']","['샐러드 소스로 식초 2스푼, 올리브오일 4스푼, 꿀 1스푼, 다진마늘 반스푼, 매실액 1스푼, 설탕 반스푼, 맛간장 1스푼, 요렇게 소스를 섞어주면 끝.', '간 보시고 취향껏 간장이나 식초 조금씩 더 넣어주셔도 되요.', '그래서 고기옆에 양상추 깔고 옥수수도 올려주고 옥수수 없으면 패스. 다른야채 취향껏 올려줘도 됨. 마지막에 소스까지 뿌려주면 완성이에요. 그래서 고기양념이 간이 좀 있는데도 샐러드가 강하지 않아 잘 어우러져 같이먹으면 상큼하더라구요. 집에 샐러드 드레싱 소스 딱히 없으시면 구지 사는것보다 요렇게 간단하게 만들어 드시면 좋을것 같아요.']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/22/7e11ffe7d105c0909a597d4f0e79a0df1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/22/e5ed434d9e652e0324cfc7300818cf8f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/22/095e9cd334918a442f824f46bf35a3bf1.jpg']",45979,
크래미 양상추 김밥 맛있게 싸는 법,['https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/67dc57b327fd3f377656e21f2faf16aa1.jpg'],"['크래미', '양상추', '김밥김', '밥', '마요네즈', '설탕', '소금', '후춧가루', '식초', '소금', '설탕', '통깨']","['4개', '3잎', '2장', '2공기', '1큰술', '1작은술', '1/4작은술', '1/4작은술', '1큰술', '약간', '1작은술', '1작은술']","['잘게 찢은 크래미에 설탕 1작은술, 마요네즈 1큰술, 후춧가루 1/4작은술, 소금 1/4작은술을 넣어 버무려줍니다.크래미4개, 설탕 1작은술, 마요네즈 1큰술, 후춧가루 1/4작은술, 소금 1/4작은술', '뜨거운 밥에 통깨 1작은술, 설탕 1작은술, 식초 1큰술, 소금 약간을 넣어 섞어줍니다.밥2공기, 통깨 1작은술, 설탕 1작은술, 식초 1큰술, 소금 약간', '저희 고모가 알려주신 방법인데요~ 이렇게 김발을 뒤집은 비닐에 싸서 김밥을 싸면 김발을 안 씻어도 되고 롤 같이 랩이 필요한 경우에는 랩을 안 써도 되서 좋아요.김발, 비닐', '김발을 비닐로 싸준 후 김밥김 위에 양념한 밥을 펼쳐줍니다.김밥김1장', '김을 뒤집은 후 양념한 크래미, 채썬 양상추를 올려 돌돌 말아줍니다.', '먹기 좋게 썰어줍니다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/b1d5a9383cc55ed59ff4abafbf1a464e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/bd0d77b453571629d165273cefa225f01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/daf0b08a397475bf20078bf4ef8e24111.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/d7eb420c31caa3168c0b398fe2cec3521.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/29c8a8fe97e5c0d5b963fbf852dbd6241.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/09/18/0875806ef49f51e6959ac3b251186b761.jpg']",250,
